tl_lon,tl_lat,br_lon,br_lat,indicator_1,indicator_2,indicator_3,indicator_4,indicator_5
150.85183922936713,-33.96970174187253,150.85713473157585,-33.97430238807955,1,6,1,4,2
150.8572478176217,-33.969796070769995,150.86254362987322,-33.974396495394494,4,10,8,7,9
150.8626564310042,-33.96989016220635,150.86795255324068,-33.97449036520462,1,10,1,4,10
150.86806506945152,-33.969984016177904,150.87336150161502,-33.974583997506265,0,4,2,2,9
150.87347373290032,-33.97007763268105,150.878770474933,-33.9746773922958,9,4,1,7,7
150.87888242128744,-33.970171011712104,150.88417947313133,-33.97477054956959,6,3,1,9,10
150.88429113454964,-33.97026415326748,150.88958849614679,-33.97486346932401,4,0,3,3,10
150.88969987262368,-33.97035705734351,150.8949975439161,-33.974956151555446,8,3,5,6,8
150.89510863544632,-33.97044972393659,150.90040661637607,-33.97504859626028,1,5,1,9,8
150.90051742295432,-33.97054215304313,150.90581571346345,-33.97514080343493,2,5,9,8,1
150.90592623508448,-33.97063434465952,150.91122483511492,-33.9752327730758,4,10,3,6,8
150.9113350717735,-33.97072629878218,150.91663398126724,-33.97532450517932,9,6,7,10,6
150.91674393295818,-33.97081801540754,150.9220431518572,-33.97541599974191,10,8,4,5,10
150.92215281857528,-33.970909494532016,150.92745234682152,-33.97550725676002,8,6,10,5,0
150.92756172856153,-33.971000736152064,150.93286156609693,-33.97559827623009,3,6,1,9,3
150.93297066285368,-33.97109174026412,150.9382708096202,-33.975689058148596,1,3,8,0,8
150.93837962138852,-33.971182506864665,150.943680077328,-33.975779602511984,0,0,8,2,3
150.94378860410282,-33.97127303595014,150.94908936915715,-33.975869909316756,1,6,2,10,3
150.94919761093323,-33.97136332751704,150.95449868504434,-33.97595997855937,10,5,6,4,2
150.95460664181658,-33.97145338156185,150.95990802492628,-33.97604981023633,0,8,6,8,1
150.9600156966896,-33.97154319808108,150.96531738873972,-33.97613940434417,8,4,7,9,7
150.965424775489,-33.97163277707119,150.9707267764214,-33.97622876087936,1,7,5,10,10
150.97083387815155,-33.97172211852875,150.97613618790803,-33.976317879838454,7,3,0,3,6
150.976243004614,-33.97181122245025,150.98154562313633,-33.97640676121797,5,3,4,5,3
150.98165215481305,-33.97190008883225,150.98695508204307,-33.976495405014454,7,9,4,2,5
150.98706132868548,-33.971988717671266,150.9923645645649,-33.97658381122446,7,2,0,2,8
150.99247052616795,-33.972077108963845,150.9977740706386,-33.97667197984454,4,4,6,9,4
150.99787974719732,-33.97216526270658,151.00318360020083,-33.976759910871266,5,3,10,8,4
151.00328899171018,-33.97225317889602,151.00859315318837,-33.97684760430123,1,0,1,5,1
151.00869825964338,-33.97234085752875,151.01400272953788,-33.97693506013099,10,6,8,10,0
151.01410755093355,-33.97242829860134,151.0194123291861,-33.977022278357175,5,3,4,4,10
151.01951686551746,-33.97251550211042,151.02482195206974,-33.97710925897637,9,2,1,0,8
151.02492620333186,-33.97260246805259,151.03023159812548,-33.977196001985206,1,10,8,6,8
151.03033556431345,-33.97268919642444,151.0356412672901,-33.97728250738029,10,2,10,3,5
151.03574494839893,-33.97277568722262,151.04105095950018,-33.97736877515827,5,10,5,8,3
151.04115435552504,-33.972861940443764,151.04646067469258,-33.977454805315794,6,4,8,7,8
151.04656378562848,-33.9729479560845,151.05187041280388,-33.97754059784948,8,2,10,2,2
151.05197323864599,-33.97303373414149,151.05728017377083,-33.97762615275603,10,9,2,0,1
151.05738271451426,-33.973119274611406,151.06268995753013,-33.977711470032105,0,1,0,4,3
151.06279221317,-33.97320457749088,151.06809976401848,-33.97779654967436,2,8,1,5,1
151.06820173455,-33.973289642776656,151.07350959317253,-33.97788139167952,4,1,2,8,10
151.07361127859087,-33.97337447046538,151.07891944492903,-33.977965996044254,1,8,4,1,10
151.07902084522934,-33.97345906055376,151.08432931922468,-33.978050362765295,9,0,6,9,8
151.08443043440215,-33.97354341303851,151.0897392159961,-33.978134491839334,1,9,6,8,4
